"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000209342",0.673982218522651,1.90823703416335,1.24150618570943,1.5370338514044,0.124285019963651,0.174393583568044
"ENSG00000209350",19.6202270685061,-3.23568177830396,0.296888961145703,-10.8986260917798,1.17010724270153e-27,8.70267261759265e-27
"ENSG00000209352",0.276482622379621,-0.742511459018506,1.81101758992303,-0.40999682341576,0.68180827777186,NA
"ENSG00000212679",114.193607651787,-1.02309057073276,0.30173093409029,-3.39073808861312,0.000697046800836057,0.00149353379625122
"ENSG00000212678",10160.9278318885,-0.224180045614087,0.0207032822846602,-10.8282369206834,2.52979279111324e-27,1.85918738615306e-26
"ENSG00000197049",0.242094459624179,-1.15470779995768,1.83586221803467,-0.628973018026278,0.529366720866335,NA
"ENSG00000177757",0.79307274066772,0.9652711114618,1.06208514934739,0.908845314384561,0.363431783271862,0.440618314045117
"ENSG00000177750",2.9431296142704,-0.203099282369303,0.558157940998915,-0.363874214538314,0.715951940459575,0.765165908042116
"ENSG00000177741",2.3529874477348,-1.97005676461919,0.719763361310209,-2.73708953597337,0.00619854198274539,0.0116021106440497
"ENSG00000198907",1.45399045982568,2.07640351622233,1.03459231775735,2.00697751238215,0.0447520574757581,0.0710794999127287
"ENSG00000187634",36.3824160001886,-0.115924738085169,0.160805894606788,-0.720898561390642,0.470971928046234,0.544539291993665
"ENSG00000188976",56.5120591503963,-0.101459845666294,0.128166675764116,-0.791624227291543,0.428579816035925,0.504384157784386
"ENSG00000187961",14.6935292858919,-0.552651396165809,0.257205672194202,-2.14867499402786,0.0316601722626038,0.0522713836608838
"ENSG00000187583",1.40340538740962,0.598574007905953,0.85607208139115,0.699209822300532,0.484420913085125,0.557381296052576
"ENSG00000187642",4.21086146760711,2.26196487754735,0.62672435033448,3.60918620178098,0.000307159083147426,0.0006827228471682
"ENSG00000188290",5.8781853919036,1.45471507306068,0.440530679978878,3.30218788196641,0.000959337880957536,0.00200418055616652
"ENSG00000187608",12.6530625360412,-1.17176956635714,0.288974575765897,-4.0549226977892,5.01508850020612e-05,0.000122661532171049
"ENSG00000188157",209.406494727194,2.2112173509261,0.1839014816954,12.0239235189447,2.66032662659591e-33,2.2927717500523e-32
"ENSG00000131591",9.32435315205439,-0.312267710950817,0.322963371556022,-0.966882744152459,0.333602653849968,0.411221757375219
"ENSG00000215916",9.37834036213947,-0.230500149277173,0.320227841852828,-0.719800464392808,0.471647858959465,0.545117099596782
"ENSG00000198976",0.160521849661993,0.494079844085102,2.05403663007765,0.240540911904976,0.809910950958959,NA
"ENSG00000205231",0.267150367417802,1.19567510273112,1.47886496834023,0.808508638941565,0.418797834913032,NA
"ENSG00000162571",0.271178979943597,1.20851521633843,1.47664356521684,0.818420399347334,0.413117177472664,NA
"ENSG00000186891",0.256338071221861,-1.97909279949435,2.43530081078376,-0.812668722783947,0.416408018319775,NA
"ENSG00000186827",0.579967563869984,0.879228812298078,1.15068823031003,0.764089515420859,0.444813899886867,0.520913779806951
"ENSG00000078808",211.410350318327,-0.428397415539167,0.151927268230566,-2.8197532972753,0.00480605832301688,0.00913387251315371
"ENSG00000176022",32.775457066619,-0.966076333731455,0.190872008292474,-5.06138297791226,4.16226179701724e-07,1.22882041984459e-06
"ENSG00000184163",3.09530580853227,-0.538758867450532,0.514758739173741,-1.04662403267852,0.295273013241113,0.373192280624185
"ENSG00000160087",61.7065219697412,-0.673022450028064,0.121031428828183,-5.56072465263128,2.68656777627327e-08,8.64058284801404e-08
"ENSG00000162572",7.69681749960585,-0.220454705583695,0.343904496326095,-0.641034670784464,0.521500157316708,0.593861423164481
"ENSG00000131584",62.2322120696271,-0.0324063467824744,0.178827480570675,-0.181215698387402,0.856198273067169,0.882731575098241
"ENSG00000169972",25.6300856912964,-1.17730034040853,0.195758436388206,-6.01404650614311,1.80948561603545e-09,6.24838001787243e-09
"ENSG00000127054",79.5869683755356,-0.162091594451728,0.114310359584917,-1.4179956658374,0.156192030158937,0.213641972286362
